상권_코드_명,서비스_업종_코드_명,rank_상권별
금천해태공원,PC방,1.0
금호사거리,미용실,1.0
금호삼성래미안아파트,네일숍,1.0
금호역,PC방,1.0
길동복조리시장,가전제품수리,1.0
길동신동아아파트,골프연습장,1.0
길동역,PC방,1.0
길동주민센터(강동도서관),고시원,1.0
길상사,가구,1.0
길음시장,PC방,1.0
길음역 10번,골프연습장,1.0
길음역 7번,미용실,1.0
길음역 8번,가구,1.0
김포공항역(김포공항),시계및귀금속,1.0
까치산시장,PC방,1.0
까치산역,PC방,1.0
까치산역 1번,네일숍,1.0
까치산역 3번,골프연습장,1.0
까치산역 4번,골프연습장,1.0
꿈의숲 장곡 골목형상점가,노래방,1.0
낙성대역 1번(관악구민 종합체육센터),노래방,1.0
낙성대역 5번(관악중학교),가전제품수리,1.0
낙원시장(낙원지하시장(대일상가)),가전제품,1.0
난곡 골목형상점가,미용실,1.0
난곡중학교,미용실,1.0
난곡초등학교(난곡동벽화마을),PC방,1.0
난우중학교,미곡판매,1.0
난우초등학교,가구,1.0
난향초등학교,노래방,1.0
남가좌동현대아파트,당구장,1.0
남가좌파출소,노래방,1.0
남강고등학교(남강중학교),PC방,1.0
남구로시장,PC방,1.0
남구로역 2번,PC방,1.0
남구로역 3번,가구,1.0
남구로역 5번,가전제품,1.0
남대문시장(자유상가),가구,1.0
남문시장,네일숍,1.0
"남부골목시장(남부화곡시장, 남부시장)",가방,1.0
남부종합시장,가전제품수리,1.0
남부초등학교,노래방,1.0
남부터미널역,PC방,1.0
남부터미널역 1번,골프연습장,1.0
남산골공원옆,슈퍼마켓,1.0
남산케이블카,네일숍,1.0
남서울상가,문구,1.0
남성사계시장(남성시장),PC방,1.0
남성역 1번,PC방,1.0
남성역골목시장,PC방,1.0
남영동 먹자골목,고시원,1.0
남영역 1번,가전제품,1.0
남정초등학교,슈퍼마켓,1.0
남천초등학교,가전제품수리,1.0
남태령역(서울전자고등학교),미용실,1.0
남평화시장,가방,1.0
내를건너서숲으로도서관,가전제품,1.0
내방역,PC방,1.0
내방역 1번,미용실,1.0
내방역 4번,당구장,1.0
내방역 5번,분식전문점,1.0
내방역 6번,미용실,1.0
내방역 8번,네일숍,1.0
노량진역 6번,PC방,1.0
노량진역(노량진),PC방,1.0
노량진중앙시장,노래방,1.0
노량진초등학교,가구,1.0
노룬산시장(노룬산골목시장),노래방,1.0
노원 을지대학교병원,골프연습장,1.0
노원역,PC방,1.0
노원역 9번,미용실,1.0
노원초등학교,PC방,1.0
녹두거리(대학동),PC방,1.0
녹번동근린공원,미용실,1.0
논현2동주민센터,네일숍,1.0
논현로18길,양식음식점,1.0
논현목련공원,미용실,1.0
논현역,PC방,1.0
논현역 4번,고시원,1.0
논현역 5번,가구,1.0
논현역 7번,외국어학원,1.0
논현종합시장,조명용품,1.0
논현초등학교,가전제품,1.0
누원고등학교,골프연습장,1.0
능동로골목시장,가구,1.0
능동우편취급국,PC방,1.0
다산성곽길,외국어학원,1.0
달마을공원,미용실,1.0
답십리 건축자재시장,가구,1.0
답십리 장령당공원,가전제품수리,1.0
답십리공원,네일숍,1.0
답십리사거리,가전제품,1.0
답십리시장,PC방,1.0
답십리역 6번,미용실,1.0
답십리초등학교,PC방,1.0
답십리현대시장,가구,1.0
당고개역 2번,노래방,1.5
당고개역 5번,가전제품,1.0
당곡중학교,노래방,1.0
당산2동(영등포우체국),가전제품,1.0
당산반도유보라팰리스아파트,당구장,1.0
당산역,PC방,1.0
당산역 13번,예술학원,1.0
당산역 8번,미곡판매,1.0
대광초등학교,PC방,1.0
대동초등학교,가구,1.0
대림1동주민센터,노래방,1.0
대림3동사거리,PC방,1.0
대림갑을명가아파트,미용실,1.0
"대림골목시장(대림시장, 양지시장)",미곡판매,1.0
대림상가(청계상가),가전제품,1.0
대림성모병원,고시원,1.0
대림썬프라자,노래방,1.0
대림역,PC방,1.0
대림역 11번,슈퍼마켓,1.0
대림역 2번,PC방,1.0
대림역 5번,PC방,1.0
대림중앙 골목형상점가,노래방,1.0
대림중앙시장,PC방,1.0
대림차이나타운(대림역 12번),노래방,1.0
대림한신아파트,PC방,1.0
대명여울빛거리시장(대명시장),PC방,1.0
대방역 3번,미용실,1.0
대방역 4번,고시원,1.0
대방역 6번,골프연습장,1.0
대신고등학교,미용실,1.0
대왕초등학교(세곡동사거리서남측),노래방,1.0
대원고등학교,문구,1.0
대원종합시장,PC방,1.0
대조시장,가구,1.0
대진고등학교,가전제품수리,1.0
대청초등학교,PC방,1.0
대치2동주민센터,골프연습장,1.0
대치동아우편취급국,네일숍,1.0
대치사거리,PC방,1.0
대치역,PC방,1.0
대학로(혜화역),PC방,1.0
대현산장미원,슈퍼마켓,1.0
대흥동주민센터,네일숍,1.0
대흥역 2번,당구장,1.0
대흥역 3번,노래방,1.0
더케이호텔(양재리본타워2단지아파트),골프연습장,1.0
덕산중학교,미용실,1.0
덕성여대시반거리,문구,1.0
덕수교,노래방,1.0
덕의초등학교,노래방,1.0
도곡1동,PC방,1.0
도곡2동주민센터(대치중학교),세탁소,1.0
도곡시장,PC방,1.0
도곡초등학교,네일숍,1.0
도림2동유수지내체육시설,PC방,1.0
도림동주민센터,PC방,1.0
도림시장,당구장,1.0
도림초등학교,미용실,1.0
도봉구 정병원,가전제품,1.0
도봉구민회관,PC방,1.0
도봉구보건소,PC방,1.0
도봉산역 1번,노래방,1.0
도봉산입구,가전제품수리,1.0
도봉세무서,가전제품수리,1.0
도봉역 2번,PC방,1.0
도봉역 3번,당구장,1.0
도봉우체국,미용실,1.0
도산공원교차로,가구,1.0
도산공원북측,미용실,1.0
도성초등학교,PC방,1.0
도신초등학교,네일숍,1.0
도화동 상점가,네일숍,1.0
독립문역 1번,PC방,1.0
독산119안전센터,가방,1.0
독산2동주민센터,가전제품수리,1.0
독산동,PC방,1.0
독산동 맛나는거리상점가(독산동 맛나는거리),노래방,1.0
독산동 우시장,PC방,1.0
독산동성당,PC방,1.0
독산동정훈단지,PC방,1.0
독산역 1번 출입구,분식전문점,1.0
돈암시장(돈암제일시장),당구장,1.0
돈의문센트레빌아파트입구,미곡판매,1.0
돌곶이시장(석관황금시장),미용실,1.0
돌곶이역 1번,PC방,1.0
돌곶이역 3번,노래방,1.0
돌곶이역 5번,PC방,1.0
돌곶이역 8번,노래방,1.0
동교초등학교,가구,1.0
동구여중,PC방,1.0
동남상가,가방,1.0
동대문경찰서,노래방,1.0
동대문구청,노래방,1.0
동대문문구완구거리(동대문문구완구시장),가방,1.0
동대문상가A동,신발,1.0
동대문상가C동,애완동물,1.0
동대문상가D동,반찬가게,1.0
동대문역,PC방,1.0
동대문역 1번,PC방,1.0
동대문역 3번,미용실,1.0
동대문역사문화공원역,PC방,1.0
동대문역사문화공원역 5번,노래방,1.0
"동대문종합시장(동대문종합시장 신관, 동대문종합시장D동상가)",가방,1.0
동대문중앙새마을금고본점,가구,1.0
동대문패션타운 관광특구,PC방,1.0
동대부고,가전제품,1.0
동대부여고,노래방,1.0
동덕여대,미용실,1.0
