상권_코드_명,서비스_업종_코드_명,rank_상권별
화곡보람2차아파트,미용실,1.0
화곡본동시장,가구,1.0
화곡역,PC방,1.0
화곡역 2번,노래방,1.0
화곡역 4번,가구,1.0
화곡역 5번,가전제품수리,1.0
화곡중앙시장,가구,1.0
화곡초등학교,노래방,1.0
화랑대역 7번,노래방,1.0
화랑대철도공원,문구,1.0
화양사거리,PC방,1.0
화양제일골목시장,가방,1.0
화원어린이공원,노래방,1.0
화원중학교,가구,1.0
황학동벼룩시장,가전제품,1.0
황학동주방가구거리상점가,가구,1.0
"황학시장(서울중앙시장, 신중앙시장)",가구,1.0
황학코아루아파트,노래방,1.0
회기시장,가전제품,1.0
회기역,PC방,1.0
회기역 1번,미용실,1.0
회기역 2번,중식음식점,1.0
회현역,노래방,1.0
회현역 1번,여관,1.0
효문고등학교,슈퍼마켓,1.0
효창공원앞역 2번,골프연습장,1.0
효창공원앞역 5번,PC방,1.0
효창공원앞역 6번,PC방,1.0
효창동주민센터,가방,1.0
후암동주민센터,PC방,1.0
후암시장,노래방,1.0
휘문고교사거리,골프연습장,1.0
흑리단길,네일숍,1.0
흑석2치안센터,미용실,1.0
흑석시장,가전제품,1.0
