place,mango_rank,mango_review_count,mango_view_count,mango_rank_count,mango_count
망원동,3.875193798449612,25.285,24047.7,129,200
면목.동,3.9,2.02,2826.715,4,200
면목동,3.9333333333333336,1.895,2759.825,3,200
면목본동,,1.0,967.6666666666666,0,3
명동,3.8444444444444446,25.505,24721.29,99,200
명일동,3.9,2.6,3459.97,5,200
목동,3.6644067796610167,12.295,12296.18,59,200
무악동,4.1,2.0833333333333335,3305.8333333333335,1,12
묵동,3.7,1.106508875739645,2129.2781065088757,2,169
문래동,3.817647058823529,8.695,9438.48,51,200
문정동,3.745,4.69,4680.21,20,200
미아동,3.7857142857142856,2.905,2988.49,7,200
반포동,3.8173333333333335,31.99,31231.175,150,200
발산동,3.9155172413793102,9.385,8300.67,58,200
방배동,3.8664,20.46,19555.885,125,200
방이동,3.836585365853659,13.455,14240.59,82,200
방학동,3.8,1.5778894472361809,1981.0502512562814,4,199
방화동,3.525,2.32,3584.995,4,200
번동,3.9909090909090907,2.555,3131.8,11,200
보광동,3.9916666666666667,6.506024096385542,5349.975903614458,12,83
보문동,4.075,2.2903225806451615,2293.8387096774195,4,93
부암동,3.9411764705882355,18.61904761904762,13423.619047619048,17,63
북가좌동,3.6999999999999997,2.09375,1755.7708333333333,3,96
북아현동,3.857142857142857,3.1666666666666665,2700.55,7,60
불광동,3.7600000000000002,1.7559055118110236,2253.283464566929,5,127
사근동,3.8,3.0952380952380953,3765.6666666666665,2,21
사당동,3.855384615384615,13.96,14312.3,65,200
사직동,3.8,1.745,2195.805,5,200
삼선동,3.966666666666667,2.576388888888889,2758.7916666666665,6,144
삼성동,3.7910000000000004,36.125,33820.865,200,200
삼양동,,2.2,3730.6,0,5
삼전동,3.975,3.1666666666666665,2561.9310344827586,12,174
삼청동,3.713636363636364,18.373737373737374,15554.878787878788,22,99
상계.동,3.8085714285714287,7.36,7300.88,35,200
상계동,3.8029411764705885,7.255,7190.355,34,200
