,이름,행정동,점수,별점,좋아요
1369, 썬더치킨 동국대점,필동,34,5.0,0
1370, 본가집토종순대 충무로,필동,34,3.0,2
1371, 쭈삼닭 충무로,필동,34,3.0,0
1372, 충무갈비 충무로,필동,33,4.0,0
1373, 횟집좋을 충무로역,필동,33,0.0,1
1374, 보스호프 충무로,필동,33,0.0,1
1375, 마쓰에 충무로,필동,33,3.0,0
1376, 고흥만 충무로,필동,32,0.0,3
1377, 피플스 카페 충무로,필동,32,4.0,1
1378, 통영굴밥 해물나라 충무로역,필동,32,3.0,0
1379,. 필동부대찌개 충무로역,필동,32,0.0,2
1380,더 파크뷰 중구,장충동,66,4.3,46
1381,더 라이브러리 중구,장충동,65,4.6,25
1382,평양면옥 본점,장충동,61,3.9,301
1383,태극당 장충동,장충동,58,3.6,155
1384,팔팔식당 장충동,장충동,58,4.6,12
1385,신라호텔 팔선 중구,장충동,57,4.6,34
1386,커피빈 동대입구역점,장충동,57,4.7,4
1387,평안도 족발집 장충동,장충동,56,3.7,364
1388,페스타 바이 민구 장충동,장충동,56,4.6,11
1389, 서울신라호텔 라연 남산,장충동,55,4.5,113
1390, 서울신라호텔 패스트리부티크 중구,장충동,55,4.8,8
1391, 평강삼계탕 장충동,장충동,54,4.2,2
1392, 그라넘 다이닝 라운지 남산,장충동,53,4.3,8
1393, 함흥에겨울냉면 동대입구역,장충동,51,3.5,44
1394, 도치피자 장충점,장충동,50,4.1,51
1395, 치면식당 약수역,장충동,50,4.0,27
1396, 뚱뚱이할머니집 본점,장충동,49,3.8,27
1397, 숲마마키친 장충동,장충동,49,4.0,4
1398, 담 동대입구,장충동,48,3.6,3
1399, 더클럽 멤버스 레스토랑 중구,장충동,48,5.0,4
1400, 스타벅스 동대입구역,장충동,47,4.7,0
1401, 원조1호장충동할머니집 장충동,장충동,47,3.7,6
1402, 돈돈돈까스 동대입구역,장충동,47,3.7,17
1403, 곰국수손만두 장충동,장충동,46,4.1,18
1404, 크랩회피쉬 장충동,장충동,46,5.0,3
1405, 서울다이닝 장충동,장충동,46,4.7,38
1406, 콘티넨탈 중구,장충동,46,5.0,15
1407, 커피파운드 장충 LOUNGE,장충동,45,3.6,5
1408, 아시아 장충동,장충동,44,3.6,14
1409, 별내옥설농탕 장충동,장충동,43,3.4,13
1410, 평남할머니집 장충동,장충동,43,4.3,4
1411, 신라호텔 아리아께 중구,장충동,42,3.6,22
1412, 장충광안리 장충동,장충동,42,5.0,3
1413, 닭한마리돼지한근 장충동,장충동,41,4.1,2
1414, 송원 장충동,장충동,41,5.0,2
1415, 다담에뜰 장충동,장충동,41,4.4,43
1416, 장충동진두부집 장충동,장충동,40,3.0,22
1417, 꽃사슴떡볶이 동대입구,장충동,40,5.0,14
1418, 몽상클레르 남산,장충동,40,4.0,17
1419, 덕화장 장충동,장충동,39,4.0,5
1420, 반얀트리 클럽 앤 스파 서울 문바 중구,장충동,39,4.0,2
1421, 투썸플레이스 장충동,장충동,39,4.4,0
1422, 포마촌 황태박사 장충동,장충동,38,3.0,3
1423, 돈카와치 장충동점,장충동,38,3.0,1
1424, 더 킹스 장충동,장충동,38,4.0,0
1425, 2.5닭갈비 장충동,장충동,38,5.0,3
1426, J.roaster 장충동,장충동,37,3.0,1
1427, 송림 장충동,장충동,37,0.0,27
1428, 도가네나주곰탕 동대입구역,장충동,36,5.0,0
1429, 진아네떡볶이 장충동,장충동,36,0.0,3
1430, 사슴 장충동,장충동,36,4.0,3
1431, 맹산식당 동대입구,장충동,35,1.0,8
1432, 아구랑꽃게랑 장충동,장충동,35,4.0,1
1433, 농축원 장충동,장충동,35,3.1,0
1434, 산정 동대입구역,장충동,35,0.0,4
1435, 한와담 가든 장충동,장충동,34,0.0,1
1436, 한우차돌집 장충동,장충동,34,0.0,2
1437, 일미정 장충동,장충동,34,2.4,5
1438, 프로스콘스 장충동,장충동,34,4.0,0
1439, P7COFFEE 동대입구,장충동,34,0.0,5
1440, 더피올라 동대문,장충동,34,0.0,5
1441, 오아시스 남산,장충동,33,3.1,2
1442, 육전마당 동대입구역,장충동,33,0.0,4
1443, 원조할매족발보쌈 장충동,장충동,33,2.6,0
1444, 장모네순대국밥 장충동,장충동,32,0.0,2
1445, 홍초레드스테이션 장충점,장충동,32,0.0,1
1446, 아티제 장충동,장충동,32,3.0,1
1447, 스시도 장충동,장충동,31,0.0,0
1448, 느티나무집 동대입구,장충동,31,0.0,0
1449, 구이대학 장충동,장충동,31,0.0,0
1450, 정지더키친 장충동,장충동,31,0.0,0
1451, 돈까스이야기 장충동,장충동,31,0.0,0
1452, 푸드스토리705 동대문역사문화공원역,장충동,31,0.0,0
1453, 장충쭈꾸미&양푼김치탕 장충동,장충동,31,0.0,0
1454, 반얀트리 클럽앤스파 서울 멤버스 라운지 장충동,장충동,31,0.0,0
1455, 더 페스타 비스트로 중구,장충동,31,0.0,0
1456, 오래복집 장충동,장충동,31,0.0,0
1457, 장충명가족발보쌈 서울중구,장충동,31,0.0,0
1458, 원조장충족발 장충동,장충동,31,0.0,0
1459, 모두스 동대입구,장충동,31,0.0,0
1460, M&A CLUB 장충동,장충동,31,0.0,0
1461, 곱창포차 장충동,장충동,31,0.0,0
1462, 남도복국 서울 장충동점,장충동,31,0.0,0
1463, 버거윈하우스 장충점,장충동,31,0.0,0
1464, 브레댄코 동대입구역,장충동,31,0.0,0
1465, 장충떡볶이 장충동,장충동,31,0.0,0
1466, 페스타 루프탑 바 중구,장충동,31,0.0,0
1467, 멕시칸치킨 장충점 장충동,장충동,31,0.0,0
1468, 콩365 장충동,장충동,15,4.0,1
1469, 인잇 서울중구,장충동,15,0.0,0
1470, 광릉불고기 남산점,장충동,15,0.0,0
1471, 군산횟집 장충동,장충동,15,0.0,0
1472, 파리바게뜨 장충점 장충동,장충동,15,0.0,0
1473, 전한에프엔씨 중구,장충동,15,0.0,0
1474, 클럽 멤버스 레스토랑 중구,장충동,15,0.0,0
1475, 동대닭발삼겹 중구,장충동,15,0.0,0
1476, 처갓집감자탕 장충동,장충동,15,0.0,0
1477, 피막치골 춘자 동국대,장충동,15,0.0,0
1478, 코코부코 장충동,장충동,15,0.0,0
1479,. 골목집 장충동,장충동,15,0.0,0
1480,러시아 케익 서울중구,광희동,70,4.5,37
1481,사마르칸트 동대문,광희동,58,4.2,126
1482,사마르칸트 본점,광희동,55,4.6,88
1483,Projec D 동대문,광희동,54,4.1,35
1484,장프리고 동대문역사문화공원역,광희동,51,3.9,49
1485,해피치 동대문역사문화공원역,광희동,50,5.0,0
1486,이디야 광희동점,광희동,45,4.2,1
1487,파르투내 동대문,광희동,45,3.4,17
1488,황소곱창한판구이 동대문역사문화공원역,광희동,45,5.0,1
1489, 김가네김밥 동대문공원점,광희동,42,5.0,1
1490, 스타벅스 동대문공원점,광희동,41,3.8,1
1491, 공평동꼼장어 동대문,광희동,40,4.0,21
1492, 광희칼국수 동대문역사문화공원역,광희동,40,5.0,2
1493, 고박사순대 동대문역사문화공원역,광희동,40,5.0,0
1494, 써브웨이 동대문역사문화공원역점,광희동,40,4.0,0
1495, 사또집 동대문역사문화공원역,광희동,40,4.2,3
1496, 잘루스 동대문,광희동,39,2.8,10
1497, 카페바이칼 동대문,광희동,37,4.0,0
1498, 토담 동대문,광희동,37,4.0,0
1499, 포춘레스토랑 동대문,광희동,37,3.0,7
1500, 서울집 동대문,광희동,36,3.0,14
1501, 울란바타르 동대문,광희동,36,4.0,4
1502, 유목민몽골 동대문,광희동,35,0.0,1
1503, 코너집 동대문,광희동,35,0.0,22
1504, 조방낙지 동대문,광희동,35,3.0,6
1505, 호프마당 본점,광희동,34,4.0,1
1506, 카페우즈베키스탄 동대문,광희동,34,0.0,3
1507, 아스론가 을지로,광희동,33,0.0,1
1508, 잘로스 중구,광희동,33,0.0,4
1509, 골목집황포돛배 동대문역사문화공원역,광희동,32,0.0,1
1510, 가장맛있는족발 동대문점,광희동,31,0.0,1
1511, 광희집 동대문,광희동,31,0.0,0
1512, 제2고향집 중구,광희동,31,0.0,0
1513, 수원집 동대문,광희동,31,0.0,0
1514, 재우일식 동대문,광희동,31,4.0,0
1515, 울릉도참치 서울중구,광희동,31,0.0,0
1516, 송정민물장어구이 서울중구,광희동,31,0.0,0
1517, 부부청대문 동대문,광희동,31,0.0,0
1518, 맛나참치 동대문역사문화공원역,광희동,31,0.0,0
1519, 석산정 동대문,광희동,31,0.0,0
1520, 광희식당 동대문역사문화공원역,광희동,31,0.0,0
1521, 유가네신포차 동대문,광희동,31,0.0,0
1522, 세참연회 동대문역사문화공원역,광희동,31,0.0,0
1523, 더맛존숯불바베큐 동대문역사문화공원역,광희동,31,0.0,0
1524, 메이찬 동대문,광희동,31,0.0,0
1525, BHC치킨 동대문,광희동,31,0.0,0
1526, 우리집칼국수 동대문역사문화공원역,광희동,31,5.0,0
1527, 한솥도시락 동대문운동장역점,광희동,15,0.0,0
1528, 고기사랑 중구,광희동,15,0.0,0
1529, 옛날농장 을지로6가점,광희동,15,0.0,0
1530, 플레김밥&카페 동대문,광희동,15,0.0,0
1531, DOSE 동대문,광희동,15,0.0,0
1532, 사마르칸트 시티 동대문,광희동,15,0.0,0
1533, 처갓집양념치킨 광희점,광희동,15,0.0,0
1534, 카페띠아모 광희점,광희동,15,0.0,0
1535, 파리바게뜨 동대문역사점,광희동,15,0.0,0
1536, 한옥집 동대문역사문화공원역,광희동,15,0.0,0
1537, 목남갤러리카페 동대문역사문화공원역,광희동,15,0.0,0
1538, PIZZA D BOX 동대문,광희동,15,0.0,0
1539, 갈비나라 동대문역사문화공원역,광희동,15,0.0,0
1540, 하나식품 장충동,광희동,15,0.0,0
1541, 행복한밥상 서울중구,광희동,15,0.0,0
1542, 특미해장국 동대문역사문화공원역,광희동,15,0.0,0
1543, 햇살숯불고갈비쭈꾸미광희점 동대문,광희동,15,0.0,0
1544, 동대갈비왕 서울중구,광희동,15,0.0,0
1545, 다정 동대문역사문화공원역,광희동,15,0.0,0
1546, 본스치킨 동대문점,광희동,15,0.0,0
1547, 그랜드사마르칸트 동대문역사문화공원역,광희동,15,0.0,0
1548, 맛칼국수 광희1호점,광희동,15,0.0,0
1549, 시티오 동대문역사문화공원역,광희동,15,0.0,0
1550, 삼거리식당 중구,광희동,15,0.0,0
1551, 잘로스 동대문,광희동,15,0.0,0
1552,우래옥 본점,을지로동,92,4.2,1058
1553,우육면관 청계천점,을지로동,86,4.5,165
1554,사랑방칼국수 충무로,을지로동,81,4.2,338
1555,무교동 북어국집 무교동,을지로동,79,4.5,402
1556,대련집 을지로,을지로동,79,4.2,124
1557,호랑이 을지로,을지로동,76,4.6,112
1558,동원집 을지로,을지로동,74,4.0,686
1559,황평집닭곰탕 을지로,을지로동,74,4.2,199
1560,커피한약방 을지로,을지로동,74,4.1,511
1561, 미성옥 명동,을지로동,73,4.4,224
1562, 쯔루하시 후게츠 명동점,을지로동,73,4.2,145
1563, 명동교자 분점,을지로동,73,4.3,161
1564, 원흥 을지로,을지로동,72,4.0,481
1565, 평래옥 을지로,을지로동,71,4.0,394
1566, 안즈 을지로점,을지로동,71,4.3,233
1567, 디 라이프스타일 키친 광화문점,을지로동,71,4.3,61
1568, 러시아 케익 서울중구,을지로동,70,4.5,37
1569, 황소고집 종로,을지로동,70,3.9,804
1570, 은주정 을지로,을지로동,70,4.1,778
1571, 청와옥 을지로3가직영점,을지로동,69,4.1,36
1572, 을지다락 을지로,을지로동,69,4.2,93
1573, 갓덴스시 종로점,을지로동,68,4.1,93
1574, 부타이 제2막 을지로,을지로동,68,4.2,58
1575, 청진식당 종로,을지로동,68,4.5,40
1576, 스시 조 조선호텔,을지로동,68,4.3,186
1577, 안동장 을지로,을지로동,67,3.8,241
1578, 동경우동 을지로3가역,을지로동,67,4.1,119
1579, 원조누드치즈김밥 광장시장,을지로동,67,4.1,149
1580, 오장동흥남집 본점,을지로동,67,4.1,497
1581, 영덕회식당 무교동,을지로동,66,4.4,66
1582, 진작 을지로,을지로동,66,4.2,50
1583, 도림 롯데호텔,을지로동,66,4.7,19
1584, 산수갑산 을지로,을지로동,66,3.9,584
1585, 아리아 조선호텔,을지로동,66,4.2,77
1586, 대원집 을지로,을지로동,66,4.3,50
1587, 참숯골 무교동,을지로동,65,4.6,38
1588, 동강나루터 을지로,을지로동,65,4.4,32
1589, 대화정 진짜해장국 동대문,을지로동,65,4.4,35
1590, 띤띤 광화문,을지로동,65,4.3,37
1591, 포비 을지로,을지로동,65,4.9,18
1592, 풍남 원조 골뱅이 을지로,을지로동,65,4.3,66
1593, 수정식당 종로,을지로동,65,4.4,123
1594, 페닌슐라 롯데호텔,을지로동,65,4.5,35
1595, 하동관 명동본점,을지로동,64,3.8,725
1596, 타지 서울중구,을지로동,64,4.8,8
1597, 청키면가 무교점,을지로동,63,4.1,515
1598, 라세느 명동점,을지로동,63,4.3,87
1599, 이남장 을지로,을지로동,63,4.0,114
1600, 명동충무김밥 명동,을지로동,63,4.2,48
1601, 남포면옥 시청점,을지로동,63,3.8,287
1602, 종로곱육개장 종로,을지로동,63,4.2,21
1603, 몽중헌 페럼타워점,을지로동,62,4.0,41
1604, 에머이 종로1호점(본점),을지로동,62,4.1,379
1605, 서울식품 을지로,을지로동,62,4.5,57
1606, 카페코인 명동점,을지로동,62,4.2,24
1607, 에베레스트 DDP점,을지로동,62,4.2,103
1608, 을지오뎅 을지로3가역,을지로동,62,4.0,129
1609, 포탈라 종로점,을지로동,62,4.8,40
1610, 경일옥 핏제리아 을지로,을지로동,62,4.3,47
1611, 반티엔야오 카오위 명동점,을지로동,62,4.3,22
1612, 평양면옥 본점,을지로동,61,3.9,301
1613, 을지깐깐 을지로,을지로동,61,4.1,35
1614, 아그라 센터원점,을지로동,61,4.2,120
1615, 맷차 명동,을지로동,61,4.3,17
1616, 아게루 을지로,을지로동,61,4.5,25
1617, 신성식당 북창동,을지로동,61,4.5,159
1618, 인천집 을지로,을지로동,61,4.2,69
1619, 이춘복참치 을지로점,을지로동,61,4.4,9
1620, 명인돈까스 을지로,을지로동,61,4.6,10
1621, 꾸왁칼국수 을지로,을지로동,61,5.0,49
1622, 부민옥 을지로,을지로동,61,3.7,210
1623, 한국관 을지로,을지로동,61,4.1,21
1624, 만선호프 을지로,을지로동,61,3.7,125
1625, 더미 을지로점,을지로동,61,4.4,20
1626, 몰또 이탈리안 에스프레소바 명동,을지로동,60,4.1,17
1627, 세븐티포 비스트로 명동,을지로동,60,4.1,90
1628, 진가와 을지로,을지로동,60,4.2,28
1629, 교촌치킨 종로1호점,을지로동,60,4.4,2
1630, 구르카 인도레스토랑 명동,을지로동,60,5.0,5
1631, 바스버거 광화문점,을지로동,60,4.1,91
1632, 빠우 을지로,을지로동,60,4.5,7
1633, 클래직 을지로,을지로동,59,4.4,20
1634, 을지로 골목집 을지로,을지로동,59,4.1,9
1635, 세븐스퀘어 시청,을지로동,59,4.2,17
1636, 이나니와 요스케 시청점,을지로동,59,3.7,857
1637, 도이농 소고기 쌀국수 을지로,을지로동,59,4.2,34
1638, 주옥 서울시청,을지로동,59,4.5,141
1639, 동대문 할아버지 크레페 중구,을지로동,59,4.6,24
1640, 드므 을지로,을지로동,59,4.6,8
1641, 딘타이펑 명동중앙점,을지로동,58,3.7,236
1642, 다만프레르 광화문,을지로동,58,4.1,24
1643, 맛찬들왕소금구이 종로점,을지로동,58,4.6,18
1644, 웨스턴조선호텔 루브리카 조선호텔,을지로동,58,4.6,6
1645, 에쎄레젤라또 명동,을지로동,58,4.5,15
1646, 원조 곱창떡볶이 화떡 명동,을지로동,58,4.1,88
1647, 철철복집 을지로,을지로동,58,4.3,69
1648, 스타벅스 시청점,을지로동,58,4.3,4
1649, 사마르칸트 동대문,을지로동,58,4.2,126
1650, 농가순대국 을지로,을지로동,58,4.2,6
1651,. 효계 을지로점,을지로동,58,4.1,14
1652,금돼지식당 약수역,신당5동,84,4.3,385
1653,리사르 커피 약수,신당5동,71,4.6,47
1654,브레라 버티고개역,신당5동,63,3.9,84
1655,춘천막국수 약수동,신당5동,63,4.6,20
1656,백송 신당동,신당5동,62,4.8,24
1657,만포막국수 약수역,신당5동,61,4.0,137
1658,약수순대국 신당동,신당5동,61,4.1,114
1659,마복림 떡볶이 신당동,신당5동,60,3.5,213
1660,진미떡볶이 신당동,신당5동,60,4.5,66
1661, 가나안 뼈해장탕 약수역,신당5동,59,4.5,22
1662, 재구네 닭발 신당동,신당5동,59,4.1,49
1663, 오프셋커피 약수역,신당5동,58,4.4,11
1664, 스담 청구역,신당5동,57,4.9,28
1665, 고등어소반 약수역,신당5동,57,4.2,19
1666, 은화계 신당점,신당5동,57,4.2,32
1667, 우정 신당동,신당5동,57,4.2,128
1668, 온센 신당점,신당5동,56,4.3,15
1669, 문화식당 신당,신당5동,55,4.4,9
1670, 스타벅스 약수역,신당5동,55,4.6,3
1671, 소담촌 약수점,신당5동,55,4.5,6
1672, 원조짜장떡볶이 신당동,신당5동,54,4.3,21
1673, CEEK 약수,신당5동,54,4.8,9
1674, 진남포면옥 약수역,신당5동,53,3.8,109
1675, 까르보네 신당,신당5동,53,4.7,3
1676, 오버트 신당동,신당5동,52,4.3,3
1677, 호박식당 약수,신당5동,52,3.9,71
1678, 시미베 신당,신당5동,52,5.0,1
1679, 더설 약수역점,신당5동,52,4.7,6
1680, 아이러브 신당동 신당동,신당5동,51,3.4,86
1681, 원조 남원닭발 본점,신당5동,51,4.6,34
1682, 전주순대국 청구역,신당5동,50,4.3,12
1683, 커피그래 약수역,신당5동,50,4.1,4
1684, 춘향미엔 신당점,신당5동,50,4.2,7
1685, 배스킨라빈스 약수역,신당5동,50,4.6,1
1686, 우육미 신당동,신당5동,50,4.5,9
1687, 피어커피 광희문,신당5동,50,4.1,2
1688, 종점떡볶이 신당동떡볶이타운,신당5동,50,4.7,13
1689, 느티나무설렁탕 동대문,신당5동,49,4.0,92
1690, 카페 드 페소니아 ddp,신당5동,49,4.0,8
1691, 조옥당 신당동,신당5동,49,4.4,5
1692, 참맛감자탕 약수역,신당5동,49,3.7,3
1693, 약수회관 서울중구,신당5동,49,4.5,6
1694, 짬뽕이집 신당점,신당5동,49,5.0,0
1695, 소크 신당역,신당5동,49,4.4,1
1696, 시골청국장 신당동,신당5동,49,4.3,8
1697, 정육다루다 신당본점,신당5동,49,4.6,13
1698, 손수타 약수역,신당5동,48,4.0,15
1699, 투썸플레이스 약수역점,신당5동,48,4.5,2
1700, 장충순대국 청구역,신당5동,48,4.7,2
1701, 파파존스 약수,신당5동,48,4.3,2
1702, 영남 순대국 신당동,신당5동,48,4.4,8
1703, D CAFE 동대문,신당5동,48,5.0,5
1704, 펄시커피 신당동,신당5동,48,4.8,3
1705, 홍두깨손칼국수 약수역,신당5동,48,4.5,14
1706, 호두까기호두과자 약수역,신당5동,48,5.0,1
1707, 중앙갈비 동대문,신당5동,48,5.0,3
1708, 긴난 신당동,신당5동,47,4.2,5
1709, 129 라멘하우스 약수역,신당5동,47,4.4,5
1710, 맛있는집 신당역,신당5동,47,4.4,1
1711, 리프커피 약수역,신당5동,47,4.3,1
1712, 태태삼겹 신당동,신당5동,47,4.3,5
1713, 써브웨이 신당역,신당5동,47,4.5,2
1714, 토리아에즈 약수,신당5동,47,4.2,22
1715, 두리맛감자탕 신당역,신당5동,47,4.2,2
1716, 맛있는하루하루 신당역,신당5동,46,5.0,0
1717, 바오쯔 신당동,신당5동,46,3.7,81
1718, 펠롱 약수역,신당5동,46,5.0,0
1719, 금자식당 신당역,신당5동,46,4.1,0
1720, 진빼이 신당동,신당5동,46,3.8,1
1721, 신당동 천팥죽 신당동,신당5동,46,4.5,23
1722, 램램양갈비전문점 약수역,신당5동,46,5.0,0
1723, 키라키라윤 본점,신당5동,46,5.0,4
1724, 소동천 신당동,신당5동,46,4.1,1
1725, 파티오 알토 약수역,신당5동,46,4.6,19
1726, 루외루 동대문,신당5동,46,5.0,1
1727, 오챠드1974 신당동,신당5동,46,4.5,53
1728, 개성순대국 약수동,신당5동,45,4.5,0
1729, 곱창명가 약수역,신당5동,45,4.4,2
1730, 파오리 약수역,신당5동,45,4.4,0
1731, 반딧불오징어 신당동,신당5동,45,3.6,6
1732, 이북집 찹쌀순대 신당동,신당5동,45,4.2,9
1733, 이시이 약수역,신당5동,45,4.4,1
1734, 컴포즈커피 약수더시티점,신당5동,45,5.0,1
1735, 스타동 약수점,신당5동,45,4.0,14
1736, 무학 신당동,신당5동,45,4.2,4
1737, 그릴1492 본점,신당5동,45,3.9,54
1738, 빵굼터 약수역,신당5동,44,3.8,25
1739, 마복림할머니 막내아들네 신당동,신당5동,44,4.4,2
1740, 본스테이크 서울중구,신당5동,44,4.5,0
1741, 행복한집 약수역,신당5동,44,5.0,0
1742, 언더오챠드 신당,신당5동,44,4.7,3
1743, 야래향양꼬치 신당동,신당5동,44,5.0,0
1744, 하이디하우스 약수역,신당5동,44,4.5,5
1745, 엘 까페씨또 바 약수역,신당5동,44,5.0,1
1746, 아이엠 신당동,신당5동,44,5.0,1
1747, 그라운드125 약수역,신당5동,44,4.6,5
1748, 이화원 신당동,신당5동,44,4.4,5
1749, 삼삼이네 신당,신당5동,44,4.6,3
1750, 사평커피 약수역,신당5동,44,5.0,0
1751,. 다산포차 약수역,신당5동,44,5.0,0
1752,하니칼국수 신당역,황학동,71,4.5,54
1753,마일더스 신당역,황학동,59,5.0,4
1754,직화장인 서울중구,황학동,58,4.8,2
1755,버거킹 신당역점,황학동,56,4.4,1
1756,동대문매운김밥 신당역,황학동,55,4.6,12
1757,문화식당 신당,황학동,55,4.4,9
1758,옥경이네 건생선 신당,황학동,55,4.1,43
1759,유림손수제비 상왕십리,황학동,55,4.8,5
1760,심세정 신당역,황학동,55,4.2,31
1761, 디핀 신당,황학동,54,5.0,8
1762, 장수보리밥 신당,황학동,53,4.5,6
1763, 더피터커피 신당역,황학동,53,4.2,5
1764, 국수가 좋아 신당역,황학동,52,4.3,40
1765, 광주식당 동묘,황학동,51,5.0,52
1766, 할아버지칼국수 서울중구,황학동,51,4.0,12
1767, 산전 신당,황학동,51,5.0,3
1768, 계류관 서울중구,황학동,51,3.6,11
1769, 카페 아포테케리 신당역,황학동,50,3.9,20
1770, 햇무리식당 신당동,황학동,50,5.0,5
1771, 고기튀김 동묘,황학동,49,3.4,31
1772, 안경할머니곱창 신당역,황학동,48,5.0,34
1773, 카키 신당점,황학동,48,4.8,1
1774, 스시신조 신당동,황학동,48,4.4,18
1775, pho25 신당,황학동,48,3.9,5
1776, 어탕국수 동묘점,황학동,48,4.5,5
1777, 주신당 신당동,황학동,47,4.0,27
1778, 홍두깨칼국수 신당,황학동,47,4.5,6
1779, 서울카츠 신당점,황학동,47,5.0,4
1780, 인기명 왕십리,황학동,47,4.4,6
1781, 계경순대국 신당두산위브제니스점,황학동,46,4.5,1
1782, 신당동 천팥죽 신당동,황학동,46,4.5,23
1783, 소동천 신당동,황학동,46,4.1,1
1784, 샐러디 신설동점,황학동,45,4.5,0
1785, 이북집 찹쌀순대 신당동,황학동,45,4.2,9
1786, 기호네곱창 신당동,황학동,45,5.0,3
1787, 고바우 동묘,황학동,45,4.0,7
1788, 우미회전초밥 신당역,황학동,45,4.3,9
1789, 땡초곱창 신당동,황학동,45,4.0,12
1790, 목포낙지마을 동묘,황학동,44,4.0,9
1791, The 92 산들바다 신당역,황학동,44,4.3,1
1792, 신토불이 신당동,황학동,44,4.5,1
1793, 타이누들앤쿡 신당역,황학동,44,4.5,1
1794, 삼봉갈비 신당역,황학동,44,4.5,0
1795, 맷돌로만 신설동점,황학동,43,4.6,2
1796, 일품칼국수 신당역,황학동,43,4.5,1
1797, 레레플레이 신당,황학동,43,4.2,0
1798, 미미국수 서울중구,황학동,43,3.5,116
1799, 영미곱창 동묘,황학동,42,4.0,27
1800, 일등수제비 신당역,황학동,42,5.0,3
1801, 한솥도시락 신설동점,황학동,42,5.0,0
1802, 옥이네먹거리 신당,황학동,42,4.0,10
1803, 메이탄 왕십리점,황학동,42,3.8,1
1804, 술술317 신당,황학동,41,4.0,1
1805, 이공김밥 신당,황학동,41,3.8,1
1806, 맛으로소문난왕만두찐빵 황학점,황학동,41,5.0,0
1807, 달콩커피 동묘,황학동,41,4.4,0
1808, 세라젬 웰카페 서울왕십리직영점,황학동,41,5.0,0
1809, 무명스키야키 신당역,황학동,41,4.8,3
1810, 동대문마라탕&훠궈 신당동,황학동,41,3.8,1
1811, 동서양 신당역,황학동,41,5.0,0
1812, 매머드익스프레스 종로숭인점,황학동,41,5.0,0
1813, 필동함박 신당점,황학동,41,4.0,0
1814, 투썸플레이스 신설IBC호텔점,황학동,41,5.0,0
1815, 동대문 엽기떡볶이 본점,황학동,40,4.0,5
1816, 작은식당 신당역,황학동,40,4.0,1
1817, 투썸플레이스 황학신당역점,황학동,40,4.0,1
1818, 브릭하우스 신당역,황학동,40,3.5,9
1819, 지코바치킨 신당,황학동,40,4.0,5
1820, 막퍼주는집 동묘,황학동,40,4.0,0
1821, 인생대패 신당동,황학동,40,4.0,1
1822, 본죽 황학동롯데캐슬점,황학동,40,4.0,0
1823, 원할머니보쌈족발 본점,황학동,40,3.6,2
1824, 프롬하츠커피 신설동지웰홈스점,황학동,40,5.0,0
1825, 국대떡볶이 이마트청계천점,황학동,39,3.6,0
1826, 카페총각 신당역,황학동,39,4.0,0
1827, 원써드 신당역,황학동,38,4.0,1
1828, 최대표 왕순대국 신당,황학동,38,4.0,0
1829, 섬가물텀벙 신당,황학동,38,4.0,0
1830, 신참떡볶이 왕십리,황학동,38,3.7,1
1831, 필렌젤로 청계천,황학동,38,5.0,0
1832, 꾸름 신당역,황학동,38,5.0,0
1833, 이모네광주곱창 신당,황학동,38,5.0,0
1834, 버거킹 황학이마트점,황학동,38,5.0,0
1835, 한나식빵 황학동롯데캐슬점,황학동,38,4.0,0
1836, 난바스낵 신당,황학동,38,5.0,0
1837, 컴포즈커피 신당역점,황학동,38,4.0,0
1838, 기몽 신당동,황학동,38,4.0,0
1839, 진짜김밥 동묘,황학동,38,4.0,1
1840, 참숯꼼장어 서울중구,황학동,37,0.0,62
1841, 서오릉피자 왕십리뉴타운점,황학동,37,4.0,0
1842, 이디야커피 신당중앙점,황학동,37,4.0,0
1843, 동묘백숙닭국수 동묘,황학동,37,4.0,0
1844, 로드리카페 신당동,황학동,37,4.0,0
1845, 나마스테 동대문점,황학동,37,5.0,15
1846, 제주돈사돈 신당점,황학동,37,5.0,0
1847, 스탠다드커피 서울중구,황학동,37,4.0,1
1848, 청계소담 왕갈비탕 본점,황학동,37,3.4,4
1849, 베스킨라빈스 이마트청계천,황학동,37,4.0,0
1850, 커피엣마켓_신당중앙시장 신당역,황학동,37,5.0,0
1851,. 바르다김선생 황학롯데캐슬점,황학동,37,4.0,1
1852,호수집 서울역,중림동,66,3.9,310
1853,두툼 충정로,중림동,64,4.8,99
1854,중림장설렁탕 충정로,중림동,63,3.8,357
1855,현대수산 충정로,중림동,59,4.8,43
1856,르셰프 블루 충정로,중림동,51,5.0,15
1857,드로우에스프레소바 서울중구,중림동,50,4.7,3
1858,닭칼원조집 충정로,중림동,49,4.2,135
1859,서부족발 서울역,중림동,48,5.0,1
1860,조개조 서울역,중림동,48,3.6,2
1861, 도마 중림동점,중림동,48,4.4,25
1862, 더레드하우스 서울역,중림동,43,4.0,4
1863, 이문어세상 충정로,중림동,42,5.0,3
1864, 황성집 서울역,중림동,41,5.0,11
1865, 꾸찌꾸찌 충정로,중림동,41,5.0,1
1866, 춘하추우동 서울로점,중림동,41,4.4,4
1867, 계모임 충정로,중림동,40,5.0,1
1868, 산첩첩물첩첩 서울역,중림동,39,4.6,0
1869, 대도소곱창 충정로,중림동,39,3.5,8
1870, 버거운녀석들 중림점,중림동,38,4.8,4
