,place,rank,review_count,view_count
497,창동,3.2,47.0,21488.0
498,창동,3.2,11.0,3877.0
499,창동,3.2,7.0,1067.0
500,창동,3.2,6.0,1429.0
501,창동,3.1,13.0,9250.0
502,창동,3.0,45.0,30652.0
503,창동,,2.0,5150.0
524,창동,,0.0,6109.0
525,창동,,13.0,22504.0
526,창동,,14.0,27736.0
527,창동,,21.0,11731.0
528,창동,,8.0,526.0
529,창동,,13.0,15062.0
530,창동,,12.0,23903.0
531,창동,,7.0,15405.0
532,창동,,1.0,7183.0
533,창동,,5.0,17893.0
534,창동,,5.0,1602.0
535,창동,,7.0,6157.0
536,창동,,4.0,8217.0
537,창동,,11.0,9963.0
538,창동,,7.0,10417.0
539,창동,,5.0,5628.0
540,창동,,8.0,4186.0
541,창동,,1.0,5738.0
542,창동,,11.0,8965.0
543,창동,,7.0,2660.0
564,창동,,6.0,6646.0
565,창동,,5.0,6432.0
566,창동,,5.0,4419.0
567,창동,,5.0,652.0
568,창동,,25.0,5050.0
569,창동,,5.0,5118.0
570,창동,,14.0,9728.0
571,창동,,10.0,13205.0
572,창동,,5.0,9182.0
573,창동,,3.0,10308.0
574,창동,,6.0,8181.0
575,창동,,6.0,10541.0
576,창동,,3.0,4117.0
577,창동,,17.0,25851.0
578,창동,,16.0,12620.0
579,창동,,8.0,5331.0
580,창동,,3.0,594.0
581,창동,,1.0,5433.0
582,창동,,5.0,4359.0
583,창동,,9.0,11765.0
604,창동,,7.0,5547.0
605,창동,,7.0,3897.0
606,창동,,6.0,3727.0
607,창동,,5.0,4520.0
608,창동,,4.0,7926.0
609,창동,,3.0,558.0
610,창동,,1.0,835.0
611,창동,,13.0,21346.0
612,창동,,5.0,3230.0
613,창동,,4.0,1717.0
614,창동,,1.0,334.0
615,창동,,11.0,8270.0
616,창동,,9.0,8253.0
617,창동,,5.0,4631.0
618,창동,,5.0,3352.0
619,창동,,3.0,7210.0
620,창동,,7.0,11423.0
621,창동,,6.0,3040.0
622,창동,,5.0,4236.0
623,창동,,4.0,8557.0
644,창동,,5.0,4622.0
645,창동,,2.0,460.0
646,창동,,1.0,757.0
647,창동,,14.0,15261.0
648,창동,,5.0,2603.0
649,창동,,3.0,2834.0
650,창동,,1.0,1244.0
651,창동,,0.0,1774.0
652,창동,,0.0,102.0
653,창동,,12.0,2106.0
654,창동,,7.0,7407.0
655,창동,,6.0,4460.0
656,창동,,3.0,2881.0
657,창동,,3.0,2654.0
658,창동,,3.0,2324.0
659,창동,,5.0,4458.0
660,창동,,5.0,3762.0
661,창동,,4.0,6315.0
662,창동,,4.0,1402.0
663,창동,,3.0,6303.0
684,창동,,3.0,14182.0
685,창동,,2.0,6006.0
686,창동,,2.0,604.0
687,창동,,1.0,4555.0
688,창동,,0.0,480.0
689,창동,,7.0,2874.0
690,창동,,5.0,2316.0
691,창동,,4.0,4682.0
692,창동,,3.0,5686.0
693,창동,,3.0,2661.0
694,창동,,3.0,529.0
695,창동,,2.0,4292.0
696,창동,,3.0,3342.0
697,창동,,2.0,2179.0
698,창동,,2.0,259.0
699,창동,,1.0,55.0
700,창동,,1.0,846.0
701,창동,,5.0,9312.0
702,창동,,4.0,7895.0
703,창동,,3.0,589.0
724,남영동,4.7,43.0,101849.0
725,남영동,4.6,32.0,46608.0
726,남영동,4.5,79.0,108914.0
727,남영동,4.4,12.0,11635.0
728,남영동,4.3,55.0,45918.0
729,남영동,4.3,9.0,50215.0
730,남영동,4.3,12.0,14450.0
731,남영동,4.2,13.0,6493.0
732,남영동,4.2,8.0,5832.0
733,남영동,4.2,10.0,3045.0
734,남영동,4.1,26.0,23576.0
735,남영동,4.1,6.0,1121.0
736,남영동,4.1,6.0,4404.0
737,남영동,4.0,19.0,19509.0
738,남영동,4.0,14.0,2552.0
739,남영동,4.0,11.0,6762.0
740,남영동,3.9,11.0,1955.0
741,남영동,3.9,43.0,36671.0
742,남영동,3.8,6.0,1112.0
743,남영동,3.7,58.0,45603.0
764,남영동,3.6,16.0,7486.0
765,남영동,3.5,16.0,5688.0
766,남영동,3.5,8.0,2593.0
767,남영동,3.4,5.0,440.0
768,남영동,3.3,27.0,15817.0
769,남영동,3.2,34.0,17725.0
770,남영동,3.2,4.0,500.0
771,남영동,,10.0,8047.0
772,남영동,,12.0,9039.0
773,남영동,,3.0,8560.0
774,남영동,,11.0,8852.0
775,남영동,,9.0,7580.0
